"title","abstract","authors","keywords","year","journal","doi","url","volume","number","pages","issn","source","duplicate_of"
"Generative Artificial Intelligence and Usage in Academia.","Artificial intelligence is not a new concept. However, it has reached an important point with technological development. Today, there are many software developed using artificial intelligence and various application areas where they are used. Generative artificial intelligence, one of these areas, is a technology in machine learning of artificial intelligence, aiming to generate new content by training on large data sets. Generative artificial intelligence is used in fields such as health, business, finance, e-commerce, academic studies, and R&D. This study evaluates the use of generative artificial intelligence applications in the academic field. In this context, the differences and similarities between texts generated by ChatGPT, Claude Sonet, and Google Gemini generative artificial intelligence applications and texts prepared by human intelligence were analyzed regarding subject integrity, language, ethics, and plagiarism rate. Descriptive content analysis, one of the qualitative m","Yoşumaz, İsmail","Generative artificial intelligence; Artificial intelligence; Gemini (Chatbot); Big data; Machine learning","2025.0","Firat University Journal of Social Sciences / Firat Üniversitesi Sosyal Bilimler Dergisi","","https://research.ebsco.com/plink/503b692d-737b-3cc4-ad96-943c564437ad","35.0","1","1-24","1300-9702","academicsearchultimate","Generative Artificial Intelligence and Usage in Academia."
"GENERATIVE ARTIFICIAL INTELLIGENCE: LEGAL CHALLENGES REGARDING COPYRIGHT IN THE USE OF CHATBOTS.","Generative Artificial Intelligence (GAI) is derived from Artificial Intelligence that uses deep learning techniques to consequently generate new, human-like content, such as text, images, audio, and video. The objectives of this study were to conduct a review of the legal challenges related to copyright in the use of GAI, to formulate questions about these challenges, to query the five most popular chatbots, and to analyze their responses in comparison to the current literature. A Scoping Review was conducted using the criteria of Cochrane Systematic Reviews combined with PRISMA, in the Scopus database. Through selection and classification methods, 86 articles were analyzed, indicating that the main challenges were: the lack of clear legislation defining who holds the rights to works and content created by GAI, the practice of web scraping in model training that violates data protection laws (LGPD), and the lack of regulation regarding the use of this technology for academic and scien","dos Santos Machado, José and Rodrigues Holanda, Francisco Sandro and Pimenta Neto, Valdir Ribeiro and Cavalcante Menezes, Adauto","Generative artificial intelligence; Copyright; Data protection laws; Copyright lawsuits; Government regulation; Chatbots; Deep learning; QUERY (Information retrieval system)","2025.0","Revista Foco (Interdisciplinary Studies Journal)","","https://research.ebsco.com/plink/b5c8519f-f307-30ae-8aa7-1bdfa25b7e1b","18.0","11","1-30","1981-223X","academicsearchultimate","GENERATIVE ARTIFICIAL INTELLIGENCE: LEGAL CHALLENGES REGARDING COPYRIGHT IN THE USE OF CHATBOTS."
"Generative artificial intelligence in healthcare: current status and future directions.","Generative artificial intelligence (GAI) is rapidly transforming the healthcare landscape, offering innovative solutions in areas such as medical imaging, drug discovery, and clinical decision support. This comprehensive review examines the current role of GAI in healthcare, its potential benefits, drawbacks, challenges, and future research directions. By synthesizing recent literature and expert perspectives, this review provides a critical analysis of GAI's impact on healthcare delivery, patient outcomes, and ethical considerations. While GAI shows promise in enhancing diagnostic accuracy, accelerating drug development, and improving healthcare efficiency, it also faces significant challenges related to data privacy, regulatory compliance, and ethical implementation. This review aims to inform healthcare professionals, researchers, and policymakers about the current state and future potential of GAI in healthcare, emphasizing the need for responsible development and deployment of th","Ouanes, Khaled","Generative artificial intelligence; Clinical decision support systems; Data privacy; Medical informatics; Drug discovery","2024.0","Italian Journal of Medicine","","https://research.ebsco.com/plink/d8f6fd60-e0ab-3020-bb97-84a8781e69ab","18.0","3","1-4","1877-9344","academicsearchultimate","Generative artificial intelligence in healthcare: current status and future directions."
"Generative artificial intelligence: a historical perspective.","Generative artificial intelligence (GAI) has recently achieved significant success, enabling anyone to create texts, images, videos and even computer codes while providing insights that might not be possible with traditional tools. To stimulate future research, this work provides a brief summary of the ongoing and historical developments in GAI over the past 70 years. The achievements are grouped into four categories: (i) rule-based generative systems that follow specialized rules and instructions, (ii) model-based generative algorithms that produce new content based on statistical or graphical models, (iii) deep generative methodologies that utilize deep neural networks to learn how to generate new content from data and (iv) foundation models that are trained on extensive datasets and capable of performing a variety of generative tasks. This paper also reviews successful generative applications and identifies open challenges posed by remaining issues. In addition, this paper describe","He, Ran and Cao, Jie and Tan, Tieniu","Generative artificial intelligence; Artificial neural networks; Artificial intelligence; Computer programming; Statistical models; Statistical learning; Computer systems design and related services (except video game design and development); Other Computer Related Services; Custom Computer Programming Services","2025.0","National Science Review","","https://research.ebsco.com/plink/a20dd9cc-7b76-342a-b417-fcce04ec8891","12.0","5","1-15","2095-5138","academicsearchultimate","Generative artificial intelligence: a historical perspective."
"Can generative AI help realize the shift from an outcome-oriented to a process-outcome-balanced educational practice?","Generative Artificial Intelligence (AI), especially machine learning models that autonomously generate human-like content, has recently attracted significant attention in the education sector. This paper explores the potential of generative AI, including tools like ChatGPT, to shift from traditional outcome-oriented educational practices to a more balanced approach that values both the learning process and its outcomes. Traditionally, education has emphasized achieving predefined results, but the advent of generative AI tools, which enable students to easily produce tangible results, calls for a reevaluation of these practices. This shift suggests a need for a broader focus that encompasses the entire learning process leading to the final product, thereby promoting an educational practice that equally emphasizes both the journey and the destination of learning. Recognizing that the implementation of such practices, facilitated by generative AI, still requires exploration, this paper p","Yueh-hui Vanessa Chiang and Maiga Chang and Nian-Shing Chen","Generative artificial intelligence; Experiential learning; Artificial intelligence; Learning; ChatGPT","2024.0","Educational Technology & Society","","https://research.ebsco.com/plink/f071d2ca-6ab6-368d-9fd7-43397c03e8f2","27.0","2","347-385","1176-3647","academicsearchultimate","Can generative AI help realize the shift from an outcome-oriented to a process-outcome-balanced educational practice?"
"When geoscience meets generative AI and large language models: Foundations, trends, and future challenges.","Generative Artificial Intelligence (GAI) represents an emerging field that promises the creation of synthetic data and outputs in different modalities. GAI has recently shown impressive results across a large spectrum of applications ranging from biology, medicine, education, legislation, computer science, and finance. As one strives for enhanced safety, efficiency, and sustainability, generative AI indeed emerges as a key differentiator and promises a paradigm shift in the field. This article explores the potential applications of generative AI and large language models in geoscience. The recent developments in the field of machine learning and deep learning have enabled the generative model's utility for tackling diverse prediction problems, simulation, and multi‐criteria decision‐making challenges related to geoscience and Earth system dynamics. This survey discusses several GAI models that have been used in geoscience comprising generative adversarial networks (GANs), physics‐info","Hadid, Abdenour and Chakraborty, Tanujit and Busby, Daniel","Generative artificial intelligence; Language models; Generative adversarial networks; Artificial intelligence; Machine learning; Deep learning","2024.0","Expert Systems","","https://research.ebsco.com/plink/871f0bdb-830d-3b6f-b52e-2c109de3e62d","41.0","10","1-16","0266-4720","academicsearchultimate","When geoscience meets generative AI and large language models: Foundations, trends, and future challenges."
"Using GAI for Lesson Planning in Teacher Education: Connecting Content Knowledge to Psycho-pedagogical Theories.","Generative artificial intelligence (GAI) is a recent technology with valuable contributions to many educational fields, including initial and continuing teacher education. An essential component of teacher training is related to lesson planning, namely the step-by-step anticipation of the stages of educational actions, integrating strategic decisions about what students will learn and how they will learn. Developing lesson planning skills is a complex process that takes place over years of initial and continuing training, through theoretical courses and consistent teaching practicum. The major goal of this article is to present prompting-engineering good practices that contribute to innovative and relevant lesson planning. Access through GAI to a huge amount of theoretical data offers the unique opportunity to facilitate the construction of lesson plans according to the many existing psycho-pedagogical frameworks from the research literature. Psycho-pedagogical models and theories can","GHIAȚĂU, Roxana","Generative artificial intelligence; Lesson planning; Teacher education; Educators; Practicums; Learning theories in education; Educational technology","2025.0","Journal of Innovation in Psychology, Education & Didactics","","https://research.ebsco.com/plink/4d2db462-da54-3f61-b910-54c8d604990b","29.0","2","153-160","2247-4579","academicsearchultimate","Using GAI for Lesson Planning in Teacher Education: Connecting Content Knowledge to Psycho-pedagogical Theories."
"A study on the perception of Generative AI in higher education students and teachers.","Introduction: generative Artificial Intelligence (GAI) represents a disruptive technological advancement that is profoundly transforming higher education worldwide. In response, several organizations, including UNESCO, have developed guidelines promoting the responsible integration of AI in educational and research contexts, emphasizing its supportive and human-centered role. Objectives: this study aimed to analyze the perception of generative AI in higher education by examining the frequency of use, perceptions of its future impact, and awareness of ethical and privacy risks. Methodology: data were collected through instruments administered to faculty members and undergraduate students at the University of Córdoba, Colombia. This dual perspective allowed comparison between academic and student viewpoints, contributing to the growing discussion on the role of GAI in higher education and research. Results: findings reveal that the adoption of GAI is increasingly widespread among both f","Gómez Gómez, Jorge and Salas Álvarez, Daniel and Hernández Riano, Velssy","Generative artificial intelligence; Higher education; Students; Teachers; Ethical problems; Perception (Philosophy); Colombia","2025.0","Ingeniería y Competitividad","","https://research.ebsco.com/plink/60d4da77-a8a3-3d53-a047-5888fd8befdb","27.0","3","1-25","0123-3033","academicsearchultimate","A study on the perception of Generative AI in higher education students and teachers."
"Generative AI for the Internet of Vehicles: A Review of Advances in Training, Decision-Making, and Security.","Generative artificial intelligence (GAI) has emerged as a transformative force in the Internet of Vehicles (IoV), addressing limitations of traditional AI such as reliance on large labeled datasets and narrow task applicability. This paper aims to systematically review recent advances in applying GAI to the IoV, with a focus on training, decision-making, and security. We begin by introducing the fundamental concepts of vehicular networks and GAI, laying the groundwork for readers to better understand the subsequent sections. Methodologically, we adopt a structured literature review, covering developments in synthetic data generation, dynamic scene reconstruction, traffic flow prediction, anomaly detection, communication management, and resource allocation. In particular, we integrate multimodal GAI capabilities with 5G/6G-enabled edge computing to support low-latency, reliable, and adaptive vehicular network services. Our synthesis identifies key technical challenges, including lightw","Yuan, Xiaoming and Zhang, Xinling and Wang, Aiwen and Zhou, Jiaxin and Du, Yingying and Deng, Qingxu and Liu, Lei","Generative artificial intelligence; Decision making; Intelligent transportation systems; Scientific method; Edge computing; Security management; Traffic estimation","2025.0","Mathematics (2227-7390)","","https://research.ebsco.com/plink/8b4a7a03-955a-3c35-ba77-089931e6ff23","13.0","17","2795-null","2227-7390","academicsearchultimate","Generative AI for the Internet of Vehicles: A Review of Advances in Training, Decision-Making, and Security."
"Generative AI for content discovery in academic publishing: A content provider's perspective.","Generative Artificial Intelligence (GAI) is reshaping the landscape of content discovery, access, and usage within the academic publishing ecosystem. This paper examines the complex relationships between content providers and GAI, focusing on the multifaceted roles that publishers play as consumers, developers, feeders, and influencers of GAI technologies. It explores the ethical considerations, policy developments, and principles guiding the use of GAI in academic publishing. The paper also analyzes the impact of GAI-assisted search on content discoverability, linkability, accessibility, and trackability. By auditing current GAI tools and discussing the dilemma of blocking GAI bots, the paper highlights the challenges and opportunities that GAI presents. Finally, it calls for collaborative efforts among stakeholders to promote ethical AI practices and introduces future directions, including the upcoming NISO Open Discovery Initiative survey on GAI.","Zhu, Julie","Generative artificial intelligence; Scholarly publishing; Intellectual property; Technological innovations; Scholarly communication; Book Publishers","2025.0","Information Services & Use","","https://research.ebsco.com/plink/cb7c56bb-ac89-340e-a372-b213012445b6","45.0","1/2","48-55","0167-5265","academicsearchultimate","Generative AI for content discovery in academic publishing: A content provider's perspective."
